Question,Lesson
Как называется официальный (основной) магазин приложений для устройств Android?,process_3
С чего рекомендуется начинать пункты? (укажите части речи),introduction_2
Что такое универсальные чек-листы?,introduction_2
Назовите критерии качества ПО?,introduction_1
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,introduction_2
Зачем нужны сервисы дистрибуции мобильных приложений?,process_1
Что такое тестовые данные?,introduction_1
Назовите цели тестирования.,introduction_1
Что такое окружение?,introduction_1
Что такое связнный чек лист?,introduction_2
Возможно ли исчерпывающее (полное тестирование)?,introduction_1
Что такое нативные мобильные приложения?,process_1
Зачем мы используем App Store Connect?,process_3
Что такое раннее тестирование?,introduction_1
Что такое тестирование програмного обеспечения? Дайте полное определение.,introduction_1
Что такое гибридные мобильные приложения?,process_1
На основе какого документа составляют чек-листы?,introduction_2
Что такое чек-лист в тестировании?,introduction_2
"Перечислите типичные виды, которые применяются в мобильном тестировании?",process_1
Приведите 2 и более примеров SDK из лекции,process_3
Зачем мы тестируем мобильные приложение по гайдлайнам/требованиям площадок?,process_3
Подходят ли эмулятор и симулятор для отладки приложения?,process_2
Опишите последовательность дейсвий при составлении чек-листа.,introduction_2
Что такое эмулятор?,process_2
Что такое ферма устройств?,process_2
"К правилам составления чек-листа относится ""один пункт-одна операция"". Верно ли это утверждение?",introduction_2
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,process_3
Как мы определяем доли рынка для разных мобильных платформ ?,process_1
Что такое матрица совместимости устройств?,process_1
Что означает статус blocked? Дайте развернутый ответ.,introduction_2
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",process_1
Как называется официальный магазин приложений для устройств Apple?,process_3
Какие этапы включает в себя тестирование?,introduction_1
Что такое Xcode?,process_3
Что такое TestFlight?,process_3
Какие бывают статусы в чек листе и что они означают?,introduction_2
Что такое крешлоги?,process_1
На чем может проводиться тестирование мобильных приложений?,process_1
Что такое симулятор?,process_2
"На чем проводить тестирование важнее всего? (реальных девайсах, эмуляторах, симуляторах или моб фермах)",process_1
Что такое архитектура набора команд?,process_2
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,process_3
Что подразумевает под собой аббревиатура QA (Quality Assurance) ?,introduction_1
Что такое SDK?,process_3
Какими hard skills должен обалдать тестировщик?,introduction_1
